Duration Hours,Miles Flown #,Mission Date,Year,Month,Mission,Shuttle,Crash or Not,Final or Not
283,4.8,12/5/01,2001,12,STS-108,Endeavour,,
262,3.9,3/1/02,2002,3,STS-109,Columbia,,
259,4.5,4/8/02,2002,4,STS-110,Atlantis,,
332,5.8,6/5/02,2002,6,STS-111,Endeavour,,
259,4.5,10/7/02,2002,10,STS-112,Atlantis,,
330,5.7,11/23/02,2002,11,STS-113,Endeavour,,
382,6.6,1/16/03,2003,1,STS-107,Columbia,,
333,5.8,7/26/05,2005,7,STS-114,Discovery,,
306,5.3,7/4/06,2006,7,STS-121,Discovery,,
283,4.9,9/9/06,2006,9,STS-115,Atlantis,,
309,5.3,12/9/06,2006,12,STS-116,Discovery,,
332,5.8,6/8/07,2007,6,STS-117,Atlantis,,
306,5.3,8/8/07,2007,8,STS-118,Endeavour,,
362,6.2,10/23/07,2007,10,STS-120,Discovery,,
306,5.3,2/7/08,2008,2,STS-122,Atlantis,,
378,6.6,3/11/08,2008,3,STS-123,Endeavour,,
330,5.7,5/31/08,2008,5,STS-124,Discovery,,
380,6.6,11/14/08,2008,11,STS-126,Endeavour,,
307,5.3,3/15/09,2009,3,STS-119,Discovery,,
309,5.3,5/11/09,2009,5,STS-125,Atlantis,,
376,6.5,7/15/09,2009,7,STS-127,Endeavour,,
333,5.7,8/28/09,2009,8,STS-128,Discovery,,
259,4.5,11/16/09,2009,11,STS-129,Atlantis,,
330,5.7,2/8/10,2010,2,STS-130,Endeavour,,
363,6.2,4/5/10,2010,4,STS-131,Discovery,,
282,4.9,5/14/10,2010,5,STS-132,Atlantis,,
307,5.3,2/24/11,2011,2,STS-133,Discovery,,
378,6.5,5/16/11,2011,5,STS-134,Endeavour,,
306,5.3,7/8/11,2011,7,STS-135,Atlantis,,
